Year,Season,Total_Fires,Total_Acres_Burned,Max_Acres_Burned
2000,Spring,1,1024.24,1024.24
2002,Spring,1,21641.14,21641.14
2003,Fall,3,180005.68,107540.4
2013,Spring,2,48502.0,24251.0
2015,Fall,1,1287.0,1287.0
2016,Spring,1,2304.0,2304.0
2016,Summer,1,32580.44,32580.44
2017,Fall,1,281893.0,281893.0
2018,Fall,2,101330.0,96949.0
2019,Fall,2,12374.0,9999.0
2023,Fall,1,2715.0,2715.0
2024,Fall,2,23939.06,19902.06
